 Fits Input : 	2	Flit output : 	1.375
 Fits Input : 	2	Flit output : 	0.53125
 Fits Input : 	2	Flit output : 	1.16406
 Fits Input : 	2	Flit output : 	0.914062
 Fits Input : 	2	Flit output : 	0.53125
 Fits Input : 	2	Flit output : 	0.320312
 Fits Input : 	2	Flit output : 	0.320312
 Fits Input : 	2	Flit output : 	0.320312
 Fits Input : 	2	Flit output : 	0.78125
 Fits Input : 	2	Flit output : 	0.492188
 Fits Input : 	2	Flit output : 	0.972656
 Fits Input : 	2	Flit output : 	0.320312
 Fits Input : 	2	Flit output : 	0.570312
 Fits Input : 	2	Flit output : 	0.742188
 Fits Input : 	2	Flit output : 	0.320312
 Fits Input : 	2	Flit output : 	1.875
 Fits Input : 	2	Flit output : 	0.953125
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	1.875
 Fits Input : 	2	Flit output : 	1.875
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	1.875
 Fits Input : 	2	Flit output : 	1.875
 Fits Input : 	2	Flit output : 	0.722656
 Fits Input : 	2	Flit output : 	0.914062
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	1.875
 Fits Input : 	2	Flit output : 	0.722656
 Fits Input : 	2	Flit output : 	0.125
 Fits Input : 	2	Flit output : 	1.875
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.414062
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	1.875
 Fits Input : 	2	Flit output : 	1.875
 Fits Input : 	2	Flit output : 	1.875
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	1.875
 Fits Input : 	2	Flit output : 	1.875
 Fits Input : 	2	Flit output : 	0.308594
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	2	Flit output : 	0.398438
 Fits Input : 	4	Flit output : 	2.07812
 Fits Input : 	4	Flit output : 	1.46484
 Fits Input : 	4	Flit output : 	4.25
 Fits Input : 	4	Flit output : 	0.539062
 Fits Input : 	4	Flit output : 	1.55078
 Fits Input : 	4	Flit output : 	0.539062
 Fits Input : 	4	Flit output : 	3.82812
 Fits Input : 	4	Flit output : 	1.58203
 Fits Input : 	4	Flit output : 	1.32031
 Fits Input : 	4	Flit output : 	1.95312
 Fits Input : 	4	Flit output : 	2.25
 Fits Input : 	4	Flit output : 	1.28125
 Fits Input : 	4	Flit output : 	1.12891
 Fits Input : 	4	Flit output : 	2.15625
 Fits Input : 	4	Flit output : 	0.859375
 Fits Input : 	4	Flit output : 	0.773438
 Fits Input : 	4	Flit output : 	1.36719
 Fits Input : 	4	Flit output : 	0.925781
 Fits Input : 	4	Flit output : 	2.5
 Fits Input : 	4	Flit output : 	4.03906
 Fits Input : 	4	Flit output : 	4.03906
 Fits Input : 	4	Flit output : 	1.57031
